NFL Blitz 2000 Video Game (c) 1999 Midway Games -  (08/22/99 00:34:20) page 1

PLBUILD version 3.0G

Bank Information
----------------

Bank name: PLAYERS.BNK

Size of .BNK file including header: 490608 bytes ($77C70 bytes)

Size of playlist table: 780 bytes ($30C bytes)

Size of playlist and sound data only: 489694 bytes ($778DE bytes)

Checksum: $CACE

Total number of playlists: 93 ($5D)

Total number of sound files: 91 ($5B)

Average bit rate for bank: 40.3 kbits/sec

Total linear amount of sound: 1:36.929 (min:sec.msec)



Playlist Table

  Dec  Hex   # Trks  Video  Pinball  Description
  ---- ----- ------ ------- -------  -----------
  1    $0001   1       53.2    61.0  FX: Tackle #1
  2    $0002   1       51.9    59.5  FX: Tackle #2
  3    $0003   1       49.8    57.1  FX: Tackle #3
  4    $0004   1       68.2    78.2  FX: Tackle #4
  5    $0005   1       45.6    52.3  FX: Tackle #5
  6    $0006   1       81.6    93.6  FX: Tackle #6
  7    $0007   1       59.4    68.2  FX: Tackle #7
  8    $0008   1       48.6    55.7  FX: Tackle #8

  11   $000b   1      121.4   139.2  FX: Rumble #3
  12   $000c   1      120.1   137.8  FX: Rumble #4
  13   $000d   1      142.7   163.7  FX: Rumble #5
  14   $000e   1       27.6    31.7  VP: Hit ground #1

  17   $0011   1       26.0    29.8  JH: Push grunt #1
  18   $0012   1       40.2    46.1  JH: Push grunt #2
  19   $0013   1       29.3    33.6  JH: Push grunt #3

  21   $0015   1       25.5    29.3  DF: Got pushed #1

  27   $001b   1       66.6    76.3  SD: Throw a player #1
  28   $001c   1       45.2    51.8  DF: Got thrown #2
  29   $001d   1       45.6    52.3  DF: Got thrown #1
  30   $001e   1       79.1    90.7  SD: QB "Blue 42"
  31   $001f   1       73.2    84.0  SD: QB "354!"
  32   $0020   1       45.6    52.3  SD: QB "Blue 8!"
  33   $0021   1       28.5    32.6  SD: QB "Hike!"
  34   $0022   1       31.0    35.5  VP: QB "Hut-Hike!" - REMOVED
  35   $0023   1       33.1    37.9  SD: QB "Hut!"
 
NFL Blitz 2000 Video Game (c) 1999 Midway Games -  (08/22/99 00:34:20) page 2


Playlist Table (continued)

  Dec  Hex   # Trks  Video  Pinball  Description
  ---- ----- ------ ------- -------  -----------
  36   $0024   1       41.4    47.5  SD: QB "Red!"
  37   $0025   1       34.3    39.4  VP: QB "Set!" - REMOVED
  38   $0026   1       35.6    40.8  SD: QB "Go!" (alternate hike)

  47   $002f   1       41.0    47.0  SD: Push #1

  49   $0031   1       50.2    57.6  DF: Watch it punk!
  50   $0032   1       59.9    68.6  SD: Get outta my face!! (push)
  51   $0033   1       26.0    29.8  RC: Got pushed #1

  53   $0035   1       43.1    49.4  SD: Got pushed #1

  56   $0038   1       36.0    41.3  RC: Running connect #1
  57   $0039   1       45.2    51.8  SD: Running connect #1
  58   $003a   1       34.7    39.8  SD: Hit Ground #1
  59   $003b   1       43.9    50.4  SD: Hit Ground #2
  60   $003c   1       29.7    34.1  DF: Hit Ground #2
  61   $003d   1       43.9    50.4  RC: Got smacked #1
  62   $003e   1       20.9    24.0  DF: Got smacked #1
  63   $003f   1       36.8    42.2  SD: Got smacked #1
  64   $0040   1       18.4    21.1  DF: Grab #1
  65   $0041   1       21.3    24.5  DF: Grab #2

  67   $0043   1       61.1    70.1  SD: throw a player #2
  68   $0044   1       51.9    59.5  RC: got thrown #1
  69   $0045   1       59.0    67.7  RC: got thrown #2
  70   $0046   1      115.1   132.0  DF: C'mon sissy .. wanna fight etc.

  91   $005b   1       25.5    29.3  DF: Push #1
  92   $005c   1       48.1    55.2  Tackle #9

  94   $005e   1       51.5    59.0  Big Hit #2
  95   $005f   1       51.9    59.5  New Big Hit #1
  96   $0060   1       66.1    75.8  Big Hit #4

  98   $0062   1      128.9   147.8  Blitz yells #1

  108  $006c   1       37.3    42.7  FX: Hit ground impact #1 - normal

  115  $0073   1       36.4    41.8  FX: Hit ground impact #6 - crispy
  116  $0074   1       33.1    37.9  FX: Hit ground impact #9 - crispy
  117  $0075   1       36.4    41.8  FX: Hit Ground #10 - normal
  118  $0076   1       53.6    61.4  FX: Hit Ground #11 - crispy

  122  $007a   1       45.6    52.3  FX: Small hit/contact #4
  123  $007b   1       38.5    44.2  FX: Small hit/contact #5

  127  $007f   1       24.3    27.8  FX: Catch Ball #1

  131  $0083   1       60.3    69.1  FX: Ball on Fire Throw Sound

  133  $0085   1       38.1    43.7  Spin Move Whoosh
 
NFL Blitz 2000 Video Game (c) 1999 Midway Games -  (08/22/99 00:34:20) page 3


Playlist Table (continued)

  Dec  Hex   # Trks  Video  Pinball  Description
  ---- ----- ------ ------- -------  -----------
  134  $0086   1       21.8    25.0  FX: Ball Deflected Doink #1

  136  $0088   1       51.9    59.5  FX: New Line of Scrimmage Crossed

  139  $008b   1       41.9    48.0  FX: Long Ref's Whistle #2
  140  $008c   1       51.9    59.5  FX: Short Ref's Whistle
  141  $008d   1       59.9    68.6  FX: Bowling Pin Sound
  142  $008e   1      239.8   275.0  NEW FX: Touchdown Fanfare
  143  $008f   1       62.8    72.0  FX: Interception Stinger

  147  $0093   1       82.0    94.1  FX: End of Quarter Gun #2
  148  $0094   1       38.1    43.7  FX: Ball Bounce Ricochet #1

  156  $009c   1      115.1   132.0  FX: Short Fanfare #1 (Extra Point)
  157  $009d   1       67.8    77.8  FX: Bummer Sound #1 (sack)
  158  $009e   1       49.8    57.1  Ball throw #1
  159  $009f   1       22.6    25.9  Lateral Throw

  161  $00a1   1      182.9   209.8  Safety Music Stinger
  162  $00a2   1      240.3   275.5  NEW FX: Field Goal Made

  168  $00a8   1       65.7    75.4  DF: What are you waiting for!?!
  169  $00a9   1       49.0    56.2  DF: Throw it to me!!
  170  $00aa   1       58.6    67.2  VP: I'm clear!
  171  $00ab   1       67.4    77.3  JH: Over here!!
  172  $00ac   1       59.9    68.6  RC: Throw it to me!!
  173  $00ad   1       74.5    85.4  DF: C'mon ... throw it!!
  174  $00ae   1       85.4    97.9  JH: Yo' ... Over here!
  175  $00af   1       77.0    88.3  DF: Any day now!!
  176  $00b0   1       55.2    63.4  DF: I'm waiting

  178  $00b2   1       14.2    16.3  FX: Butt-Slap

  190  $00be   1       26.0    29.8  Clank transition swish down
