NFL Blitz Video Game (c) 1997 Midway Games - DWF (10/04/97 13:08:29) page 1

PLBUILD version 3.0G

Bank Information
----------------

Bank name: TKBANK1.BNK

Size of .BNK file including header: 414890 bytes ($654AA bytes)

Size of playlist table: 660 bytes ($294 bytes)

Size of playlist and sound data only: 414096 bytes ($65190 bytes)

Checksum: $4FC8

Total number of playlists: 98 ($62)

Total number of sound files: 102 ($66)

Average bit rate for bank: 26.1 kbits/sec

Total linear amount of sound: 2:06.213 (min:sec.msec)



Playlist Table

  Dec  Hex   # Trks  Video  Pinball  Description
  ---- ----- ------ ------- -------  -----------
  0    $0000   1       46.9    53.8  TK: ... pummels 'im!
  1    $0001   1       77.0    88.3  TK: Really gets hammerred!
  2    $0002   1       77.0    88.3  TK: ... with the take-down!
  3    $0003   1       93.8   107.5  TK: ... with the bone crushing hit!
  4    $0004   1      113.8   130.6  TK: Oh my #1
  5    $0005   1       69.1    79.2  TK: Took him out!
  6    $0006   1      104.2   119.5  TK: Up close and personal!
  7    $0007   1       48.1    55.2  TK: Hammered him!
  8    $0008   1      101.3   116.2  TK: He really nails 'im
  9    $0009   1      108.0   123.8  TK: He nearly took his head off!
  10   $000a   1       60.7    69.6  TK: Cripples him!
  11   $000b   1       90.0   103.2  TK: With the facial
  12   $000c   1       59.4    68.2  TK: ... with the sack!
  13   $000d   1       88.3   101.3  TK: ... takes out the quarterback! (?)
  14   $000e   1       72.4    83.0  TK: He goes flying!
  15   $000f   1       92.9   106.6  TK: Oh the shoestring tackle

  22   $0016   1       52.3    60.0  TK: Fades back ...
  23   $0017   1       43.9    50.4  TK: ... scrambling ...

  25   $0019   1       50.2    57.6  TK: ... rolls left ...
  26   $001a   1       48.6    55.7  TK: ... rolls right ...

  28   $001c   1       50.2    57.6  TK: ... is sacked ...
  29   $001d   1       46.0    52.8  TK: ... again!
  30   $001e   1       96.3   110.4  TK: ... sacked for a big loss!
  31   $001f   1       59.9    68.6  TK: He should've passed
  32   $0020   1       60.7    69.6  TK: ... the lob pass ... #2
  33   $0021   1       90.0   103.2  TK: Bad Pass!
 
NFL Blitz Video Game (c) 1997 Midway Games - DWF (10/04/97 13:08:29) page 2


Playlist Table (continued)

  Dec  Hex   # Trks  Video  Pinball  Description
  ---- ----- ------ ------- -------  -----------
  34   $0022   1      130.2   149.3  TK: The Hail Mary!

  36   $0024   1       59.0    67.7  TK: No pressure ... #1

  39   $0027   1       58.6    67.2  TK: ... and gets it off!
  40   $0028   1       54.8    62.9  TK: ... unleashes!
  41   $0029   1       82.5    94.6  TK: Oooooohhhh ....
  42   $002a   1       72.4    83.0  TK: ... throws downfield ...
  43   $002b   1       43.1    49.4  TK: ... unloads ...
  44   $002c   1       40.6    46.6  TK: ... looking ... (#1)
  45   $002d   1       46.9    53.8  TK:  ... with time ...
  46   $002e   1       29.3    33.6  TK: ... dishes ...
