NFL Blitz Video Game (c) 1997 Midway Games - DWF (10/04/97 13:08:55) page 1

PLBUILD version 3.0G

Bank Information
----------------

Bank name: TKBANK2.BNK

Size of .BNK file including header: 415328 bytes ($65660 bytes)

Size of playlist table: 660 bytes ($294 bytes)

Size of playlist and sound data only: 414534 bytes ($65346 bytes)

Checksum: $5608

Total number of playlists: 98 ($62)

Total number of sound files: 103 ($67)

Average bit rate for bank: 26.5 kbits/sec

Total linear amount of sound: 2:04.485 (min:sec.msec)



Playlist Table

  Dec  Hex   # Trks  Video  Pinball  Description
  ---- ----- ------ ------- -------  -----------
  0    $0000   1       78.7    90.2  TK: That was a shot!
  1    $0001   1      113.8   130.6  TK: Gets hammered by the defender!
  2    $0002   1       79.5    91.2  TK: Knocked to the deck!
  3    $0003   1       83.7    96.0  TK: Aawww that's gotta hurt
  4    $0004   1       92.9   106.6  TK: Oh Man!
  5    $0005   1      143.1   164.2  TK: Took him out big time!
  6    $0006   1       52.3    60.0  TK: Ouch #1
  7    $0007   1       99.2   113.8  TK: Oooh did he hammer him!
  8    $0008   1      101.3   116.2  TK: He really nails 'im
  9    $0009   1       54.0    61.9  TK: ... blasts 'im!
  10   $000a   1      111.3   127.7  TK: Ooooh that had to hurt!
  11   $000b   1       99.2   113.8  TK: Aawww he just levels him!
  12   $000c   1       97.9   112.3  TK: ... with the huge sack!
  13   $000d   1       88.3   101.3  TK: ... takes out the quarterback! (?)
  14   $000e   1       72.4    83.0  TK: He goes flying!
  15   $000f   1       92.9   106.6  TK: Oh the shoestring tackle

  22   $0016   1       42.7    49.0  TK: ... takes the snap ...

  24   $0018   1       59.9    68.6  TK: ... and gets away!
  25   $0019   1       50.2    57.6  TK: ... rolls left ...
  26   $001a   1       48.6    55.7  TK: ... rolls right ...

  28   $001c   1       42.3    48.5  TK: ... sacked (#2)
  29   $001d   1       46.0    52.8  TK: ... again!
  30   $001e   1      159.9   183.4  TK: ... has to eat the ball ...can't taste good
  31   $001f   1       59.9    68.6  TK: He should've passed
  32   $0020   1       60.7    69.6  TK: ... the lob pass ... #2
  33   $0021   1       85.8    98.4  TK: Bad Pass!
 
NFL Blitz Video Game (c) 1997 Midway Games - DWF (10/04/97 13:08:55) page 2


Playlist Table (continued)

  Dec  Hex   # Trks  Video  Pinball  Description
  ---- ----- ------ ------- -------  -----------
  34   $0022   1      130.2   149.3  TK: The Hail Mary!

  36   $0024   1       44.8    51.4  TK: No pressure #2 ... 
  37   $0025   1       83.7    96.0  TK: With the Rainbow! #2

  39   $0027   1       61.5    70.6  TK: ... and gets it away!
  40   $0028   1       32.2    37.0  TK: ... fires it!!
  41   $0029   1       82.5    94.6  TK: Oooooohhhh ....
  42   $002a   1       70.3    80.6  TK: ... fires downfield ...
  43   $002b   1       28.0    32.2  TK: ... heaves it ...
  44   $002c   1       40.6    46.6  TK: ... looking ... (#1)
  45   $002d   1       46.9    53.8  TK:  ... with time ...
  46   $002e   1       38.5    44.2  TK: ... laterals ...
  47   $002f   1       39.8    45.6  TK: ... the screen ...
  48   $0030   1       65.7    75.4  TK: ... jumps and throws! ...
  49   $0031   1       61.1    70.1  TK: ... jumps and fires it! ...
