NFL Blitz 2000 Video Game (c) 1999 Midway Games -  (09/12/99 00:20:37) page 1

PLBUILD version 3.0G

Bank Information
----------------

Bank name: TKBANK3.BNK

Size of .BNK file including header: 643458 bytes ($9D182 bytes)

Size of playlist table: 996 bytes ($3E4 bytes)

Size of playlist and sound data only: 642328 bytes ($9CD18 bytes)

Checksum: $0A00

Total number of playlists: 172 ($AC)

Total number of sound files: 176 ($B0)

Average bit rate for bank: 22.7 kbits/sec

Total linear amount of sound: 3:45.108 (min:sec.msec)



Playlist Table

  Dec  Hex   # Trks  Video  Pinball  Description
  ---- ----- ------ ------- -------  -----------
  0    $0000   1       94.6   108.5  TKN: Oh with the vicious hit
  1    $0001   1      141.9   162.7  TKN: Ooooh #3 - You better call 911!
  2    $0002   1       69.9    80.2  B2K TK: With the Brutal Hit!
  3    $0003   1      109.2   125.3  TKN: Ooooh #2 - Send in a medic
  4    $0004   1       59.9    68.6  TKN: Oooh what a hit!!
  5    $0005   1       49.4    56.6  TKN: Crushes him!
  6    $0006   1      103.0   118.1  TKN: He just had him for lunch!
  7    $0007   1      108.0   123.8  B2K TK: Oh did you see that one!
  8    $0008   1       62.8    72.0  B2K TK: Oh that's brutal!
  9    $0009   1       79.5    91.2  B2K TK: Oh the Carnage!
  10   $000a   1       55.7    63.8  B2K TK: Oh Mama!
  11   $000b   1       99.2   113.8  TK: Oooh did he hammer him!
  12   $000c   1       79.1    90.7  TKN: Sacks the QB!
  13   $000d   1       84.5    97.0  TKN: Levels the Quarterback!!
  14   $000e   1       80.8    92.6  TKN: Knocks him into tomorrow!
  15   $000f   1       53.6    61.4  TKN: Barely gets him!

  22   $0016   1       52.3    60.0  TK: Fades back ...
  23   $0017   1       32.6    37.4  TKN: ... backs up ...
  24   $0018   1       43.5    49.9  TKN: ... backpedaling ...
  25   $0019   1       48.6    55.7  TKN: ... rolling left ...
  26   $001a   1       42.7    49.0  TKN: ... rolling right ...

  28   $001c   1       61.9    71.0  TKN: ... gets sacked!! (#1)
  29   $001d   1       47.3    54.2  TKN: ... again!! (#1)
  30   $001e   1       97.1   111.4  TKN: Thrown for a big loss!! (#1)
  31   $001f   1       69.5    79.7  TKN: They should've passed the ball
  32   $0020   1       31.8    36.5  B2K TK: ... wings it ...
  33   $0021   1       75.3    86.4  TKN: Not a good pass
 
NFL Blitz 2000 Video Game (c) 1999 Midway Games -  (09/12/99 00:20:37) page 2


Playlist Table (continued)

  Dec  Hex   # Trks  Video  Pinball  Description
  ---- ----- ------ ------- -------  -----------
  34   $0022   1      126.8   145.4  TKN: The Hail Mary!! (#1)

  36   $0024   1       59.0    67.7  TK: No pressure ... #1
  37   $0025   1       45.6    52.3  B2K TK: ... airs it out ...

  39   $0027   1       48.6    55.7  TKN: ... lets it go ... (#2)
  40   $0028   1       54.8    62.9  TK: ... unleashes!
  41   $0029   1       82.5    94.6  TK: Oooooohhhh ....
  42   $002a   1       59.4    68.2  B2K TK: ... lets it fly ...
  43   $002b   1       37.7    43.2  TKN: ... delivers ...
  44   $002c   1       40.6    46.6  TK: ... looking ... (#1)
  45   $002d   1       46.9    53.8  TK:  ... with time ...
  46   $002e   1       24.3    27.8  TKN: ... dumps it ...
  47   $002f   1       48.6    55.7  TK: ... the screen pass ...
  48   $0030   1       43.9    50.4  B2K TK: ... in the air ...
  49   $0031   1       39.8    45.6  B2K TK: ... off his feet ...
  50   $0032   1       32.6    37.4  TK: ... fires ...
  51   $0033   1       56.9    65.3  B2K TK: ... fires a laser ...
  52   $0034   1       33.5    38.4  TKN: ... whips it!
  53   $0035   1       70.7    81.1  TK: ... has a man downfield ...
  54   $0036   1       98.8   113.3  TK: ... he's wiiide open ... (pumped)
  55   $0037   1       48.1    55.2  TKN: Overthrown!
  56   $0038   1       72.8    83.5  TKN: Not enough on that pass
  57   $0039   1       97.9   112.3  TK: ... he's got a man downfield ... (pumped)
  58   $003a   1       72.4    83.0  TKN: Puts up a Prayer!
  59   $003b   1       77.0    88.3  TK: ... going deep!! ... (pumped)
  60   $003c   1       92.1   105.6  B2K TK: Oh that was terrible!
  61   $003d   1      144.8   166.1  B2K TK: That's the ugliest play I've ever seen!
  62   $003e   1       59.9    68.6  TKN: That was pathetic! (#1)
  63   $003f   1       87.1    99.8  B2K TK: That play flat-out stunk!
  64   $0040   1       64.0    73.4  TK: Who called that play?
  65   $0041   1       94.6   108.5  B2K TK: What a horrible play!

  70   $0046   1       87.1    99.8  TKN: Oh Yess!!
  71   $0047   1       64.5    73.9  TKN: Incredible!!
  72   $0048   1      124.3   142.6  TKN: Oh that was spectacular!
  73   $0049   1       95.0   109.0  TKN: That was Phat!
  74   $004a   1       77.9    89.3  TKN: Ooh my!! #1

  77   $004d   1       85.4    97.9  TK: ... with the beautiful move!
  78   $004e   1       68.6    78.7  TKN: He's not going down!
  79   $004f   1      114.7   131.5  TKN: Oooh like a steamroller!

  82   $0052   1       88.7   101.8  TKN: With the Big Gain!!
  83   $0053   1       87.1    99.8  TK: ... with the huge gain!
  84   $0054   1       36.4    41.8  B2K TK: Bingo!
  85   $0055   1       46.5    53.3  B2K TK: ... right in there!
  86   $0056   1       50.2    57.6  TKN: ... pulls it in!
  87   $0057   1       53.6    61.4  TKN: Bullseye!
  88   $0058   1       63.2    72.5  TKN: Makes the grab! (#1)
  89   $0059   1       39.3    45.1  TKN: Yesss! (#1)
  90   $005a   1       97.1   111.4  TK: Ooooh whatta catch!!!
 
NFL Blitz 2000 Video Game (c) 1999 Midway Games -  (09/12/99 00:20:37) page 3


Playlist Table (continued)

  Dec  Hex   # Trks  Video  Pinball  Description
  ---- ----- ------ ------- -------  -----------
  91   $005b   1       85.0    97.4  B2K TK: Miraculous Catch!!
  92   $005c   1       83.7    96.0  TKN: Hammers the receiver!!

  96   $0060   1       63.2    72.5  TKN: Incomplete pass
  97   $0061   1       67.4    77.3  TKN: Can't make the grab!
  98   $0062   1       35.6    40.8  TK: ... bobbles it ...
  99   $0063   1       63.6    73.0  TKN: How did he miss that?
  100  $0064   1       93.3   107.0  TK: You can put it on the board!
